movieId,title,genres,imdbId,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0
5,Father of the Bride Part II (1995),Comedy,113041,11862.0
6,Heat (1995),Action|Crime|Thriller,113277,949.0
7,Sabrina (1995),Comedy|Romance,114319,11860.0
8,Tom and Huck (1995),Adventure|Children,112302,45325.0
9,Sudden Death (1995),Action,114576,9091.0
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0
